video_id,title,channel_title,publish_time,category_id,country,duration,views,likes,comments
9KEjxehXFBA,HOA VÀ VÁY - Quốc Thiên | Nữ Ca Sĩ Giấu Mặt Cover | Em Sẽ Nắm Chặt Đôi Tay Và Yêu Đậm Sâu...,ACVocals,2026-01-02T12:09:09Z,10,VN,PT4M43S,785605,2296,95
VZ0il2mBjK0,bài hát này dành riêng cho mình em - CONGB ft. buitruonglinh | Performance Video | CONGBDAY EP,CONGB Official,2026-01-04T12:00:06Z,10,VN,PT3M24S,767866,30252,10743
kVn0srm6OdY,"LK Bolero HAY NHẤT HIỆN NAY - Ca Nhạc Trữ Tình CỰC ÊM TAI Toàn Bài Hay, Nhạc Vàng Xưa Ru Ngủ Về Đêm",Vua Bolero,2026-01-14T10:21:39Z,10,VN,PT1H56M34S,748969,1862,63
A3yD4R_g76w,BI HUỲNH NHÂN VIÊN KIỂM TRA THANH TRỪNG ZOMBIE TẠI KHU CÁCH LY | Quarantine Zone #1,Bi Huỳnh Gaming,2026-01-17T10:23:27Z,20,VN,PT57M8S,718261,8738,852
NWl8dqOqBj0,1 tỉ năm tiến hóa trong SPORE!,Cá Khô,2026-01-09T13:00:06Z,20,VN,PT1H13M34S,672333,12504,399
HebE_xMngKs,Nếu Hiha Càng Chết Thì Hiha Trở Thành HIHA SUY VONG Trong Minecraft*Chết = Hiha Suy Vong Team Tập 1,Oops Hiha,2026-01-17T11:00:07Z,20,VN,PT15M35S,663059,7576,532
YWuSoogl_1g,Đánh giải APAC ngày 1: BO6 128 người loại 64,Em Chè ĐTCL,2026-01-16T15:17:19Z,20,VN,PT5H13M59S,636446,7044,0
ReTy3CJ37Ls,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Flygame Animals,2026-01-19T04:06:13Z,1,VN,PT10M48S,635430,12560,191
0iMkjo0q7pg,[Free Fire] OB52 “Quay Và Test Đồ GOJO Cực Ngầu” Leo Rank Với Vũ Khó BÚA III Chíp Cực Mạnh !,CULÌ TV,2026-01-16T04:00:01Z,20,VN,PT22M39S,582789,10868,291
T3CWPCqTFxI,Chung kết VietNam League 2025: Ai sẽ là nhà vua Free Fire Việt Nam?,BÁC GẤU VLOG,2026-01-18T12:27:24Z,20,VN,PT5H17M38S,566336,8634,52
VooDxN5TeS4,THNE PHÁT HIỆN CÁCH MỞ KHÓA CHIÊU MỚI MƯỜI TÁM VÀ CẦN CÂU TRẦN TRONG CÂU CÁ VẠN CÂN.,THNE Roblox,2026-01-15T22:45:03Z,20,VN,PT11M1S,536755,5923,4573
7Qqk3Z-POhI,Yummie Sở Hữu QUẦN ÁO HIHA HOLOGRAM Trong Minecraft 🤣🤩,YUMMIE TV,2026-01-14T10:35:06Z,20,VN,PT19M,536708,8928,1021
Ifb5XClfgU4,LMC Cân 2 Kèo Xuống Tóc Mr Thuận Và Bảo Master ? ,LMC Gamer,2026-01-10T03:15:26Z,22,VN,PT20M56S,515685,6358,505
C8z9nsgTJT8,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay🎼Top 20 Nhạc TikTok Hay 2026,H2O Remix,2026-01-16T00:00:21Z,10,VN,PT1H5M45S,512293,2449,81
SyWFthzfpjA,(Quarantine Zone: The Last Check #1) Chỉ huy Mixi căng não phân loại người dân giữa đại dịch zombie.,MixiGaming,2026-01-13T12:31:01Z,24,VN,PT2H53M13S,490187,5647,146
3KdhCtzjpwk,ARK nhưng TÔI CHẾ TẠO QUÁI THÚ MÁY KHỔNG LỒ,RAV,2026-01-10T03:00:04Z,20,VN,PT16M22S,481266,2486,141
2H4571mL0Js,Mình Bắt Tất Cả SCP Trong 100 Ngày Minecraft Sinh Tồn !!,Dương record,2026-01-11T11:00:05Z,20,VN,PT43M8S,478228,8540,447
YuTbZV3tkRY,"Nhạc Tết 2026 EDM Mới Nhất - Nhạc Xuân 2026 Remix Hay Nhất Nghe Là Thấy Tết, Đón Tết Nguyên Đán 2026",BD Media Music,2026-01-16T23:00:04Z,10,VN,PT1H19M4S,468380,2884,130
dAT05Gt9_NY,Việt Nam vs UAE | CÚP CHÂU Á 2026 | TRẬN ĐẤU TRỰC TIẾP HÔM NAY | Lối chơi PES,GaMePLaY 312,2026-01-16T19:18:56Z,20,VN,PT3M14S,461094,226,0
Ob_FtBBL4A4,CẬP NHẬP CÁCH NÂNG CẤP CHIÊU CAN MÔN ĐOẠN CỘT CỬA GÃY V2 CỰC MẠNH HÀO ĐÀO ĐẾ CÂU CÁ VẠN CÂN,Thinh Zuka Play ,2026-01-15T13:48:01Z,22,VN,PT10M41S,452228,12057,5456
wO7vDIduNMc,Mình Sử Dụng Sức Mạnh Dragon Để Cày Từ Level 1 Lên Level Max Trong Blox Fruits,Thám Tử HB,2026-01-11T02:15:09Z,24,VN,PT36M3S,448352,12077,2976
Tiavv6IQl7c,Tô Gà 24H Bị Dính Với Nabee Trong MInecraft!,Toga TV,2026-01-18T10:43:53Z,20,VN,PT12M38S,412433,2020,163
